Pic Name,number of horizontal rebars,number of vertical rebars,Total rebars
20190531_100633_Depth_19284.png,4,5,9
20190531_102916_Depth_1171.png,6,20,26
20191024_10852_Depth_111961.png,4,11,15
20190531_100248_Depth_14486.png,4,17,21
20191024_100109_Depth_64587.png,8,9,17
20190531_103143_Depth_5519.png,7,30,37
20190531_103143_Depth_5480.png,8,30,38
20190531_100725_Depth_20856.png,4,9,13
20190531_102916_Depth_1124.png,7,21,28
20190531_100725_Depth_20824.png,4,9,13
20191024_100019_Depth_63404.png,7,8,15
20190531_103143_Depth_5473.png,8,30,38
20190531_105600_Depth_5556.png,12,13,25
20191024_10852_Depth_111996.png,4,11,15
20191024_100019_Depth_63405.png,7,8,15
20191024_100019_Depth_63464.png,7,8,15
20190531_102916_Depth_1128.png,7,21,28
20191024_100109_Depth_64684.png,8,9,17
20191024_100109_Depth_64607.png,8,9,17
20191024_095044_Depth_47348.png,7,7,14
20190531_100725_Depth_20823.png,4,9,13
20191024_10852_Depth_111987.png,4,11,15
20191024_095044_Depth_47386.png,7,7,14
20191024_100019_Depth_63407.png,7,8,15
20190531_102916_Depth_1152.png,6,20,26
20191024_10852_Depth_111998.png,4,11,15
20190531_100633_Depth_19274.png,4,5,9
20191024_095044_Depth_47298.png,7,7,14
20191024_095044_Depth_47302.png,7,7,14
20190531_102916_Depth_1040.png,8,21,29
20191024_10852_Depth_112020.png,4,11,15
20191024_100109_Depth_64600.png,8,9,17
20190531_105339_Depth_936.png,5,29,34
20191024_100019_Depth_63450.png,7,8,15
20191024_100019_Depth_63467.png,7,8,15
20191024_100109_Depth_64585.png,8,9,17
20190531_100633_Depth_19301.png,4,7,11
20190531_103143_Depth_5438.png,7,30,37
20190531_100248_Depth_14552.png,4,19,23
20190531_102916_Depth_1067.png,7,21,28
20191024_100109_Depth_64598.png,8,9,17
20191024_100109_Depth_64580.png,8,9,17
20190531_102916_Depth_1081.png,7,20,27
20190531_105600_Depth_5212.png,11,11,22
20191024_095044_Depth_47372.png,7,7,14
20191024_100019_Depth_63434.png,7,8,15
20191024_100019_Depth_63410.png,7,8,15
20191024_095044_Depth_47275.png,7,7,14
20191024_100019_Depth_63427.png,7,8,15
20191024_10852_Depth_112044.png,4,11,15
20190531_100248_Depth_14598.png,4,19,23
20191024_095044_Depth_47313.png,7,7,14
20191024_095044_Depth_47327.png,7,7,14
20191024_10852_Depth_112040.png,4,11,15
20191024_100109_Depth_64574.png,8,9,17
20190531_100248_Depth_14526.png,4,18,22
20190531_100633_Depth_19325.png,4,6,10
20191024_100019_Depth_63399.png,7,8,15
20190531_100248_Depth_14593.png,4,19,23
20190531_100248_Depth_14518.png,4,18,22
20191024_100109_Depth_64679.png,8,9,17
20190531_103143_Depth_5445.png,7,30,37
20191024_100019_Depth_63431.png,7,8,15
20191024_100109_Depth_64614.png,8,9,17
20190531_100248_Depth_14618.png,5,19,24
20190531_100248_Depth_14529.png,4,18,22
20191024_10852_Depth_112071.png,4,11,15
20190531_102916_Depth_1073.png,7,20,27
20191024_100109_Depth_64601.png,8,9,17
20190531_102916_Depth_1147.png,7,21,28
20190531_100633_Depth_19243.png,4,6,10
20191024_095044_Depth_47361.png,7,7,14
20190531_100248_Depth_14580.png,4,19,23
20191024_100109_Depth_64604.png,8,9,17
20191024_10852_Depth_112065.png,4,11,15
20190531_102916_Depth_1076.png,7,20,27
20191024_10852_Depth_112063.png,4,11,15
20191024_100109_Depth_64584.png,8,9,17
20191024_095044_Depth_47281.png,7,7,14
20191024_100019_Depth_63473.png,7,8,15
20190531_103143_Depth_5456.png,8,30,38
20190531_105600_Depth_5390.png,11,11,22
20190531_102916_Depth_1096.png,7,21,28
20191024_10852_Depth_112005.png,4,11,15
20190531_100633_Depth_19311.png,4,7,11
20190531_102916_Depth_1044.png,7,20,27
20191024_100109_Depth_64677.png,8,9,17
20190531_103143_Depth_5546.png,7,31,38
20191024_095044_Depth_47268.png,7,7,14
20190531_100248_Depth_14499.png,4,16,20
20191024_100109_Depth_64676.png,8,9,17
20191024_100109_Depth_64631.png,8,9,17
20191024_095044_Depth_47288.png,7,7,14
20191024_10852_Depth_112069.png,4,11,15
20191024_095044_Depth_47330.png,7,7,14
20190531_105339_Depth_970.png,6,30,36
20190531_100725_Depth_20889.png,4,9,13
20190531_100633_Depth_19262.png,4,4,8
20191024_100019_Depth_63503.png,7,8,15
20190531_102916_Depth_1195.png,7,20,27
20191024_10852_Depth_111990.png,4,11,15
20190531_105339_Depth_884.png,7,29,36
20190531_105339_Depth_875.png,7,29,36
20190531_105600_Depth_5528.png,15,13,28
20191024_100109_Depth_64590.png,8,9,17
20190531_103143_Depth_5460.png,8,30,38
20191024_10852_Depth_112018.png,4,11,15
20191024_095044_Depth_47310.png,7,7,14
20191024_10852_Depth_111957.png,4,11,15
20190531_100248_Depth_14569.png,4,18,22
20191024_10852_Depth_112061.png,4,11,15
20190531_105339_Depth_968.png,6,29,35
20191024_100109_Depth_64616.png,8,9,17
20190531_105600_Depth_5300.png,11,12,23
20190531_102916_Depth_1109.png,7,21,28
20191024_10852_Depth_111960.png,4,11,15
20191024_100019_Depth_63388.png,7,8,15
20190531_105600_Depth_5552.png,13,14,27
20190531_100725_Depth_20820.png,4,10,14
20191024_095044_Depth_47285.png,7,7,14
20191024_095044_Depth_47346.png,7,7,14
20191024_100019_Depth_63417.png,7,8,15
20191024_100019_Depth_63395.png,7,8,15
20190531_102916_Depth_1049.png,7,21,28
20190531_105600_Depth_5535.png,13,14,27
20191024_100019_Depth_63512.png,7,8,15
20191024_100109_Depth_64670.png,8,9,17
20191024_100019_Depth_63447.png,7,8,15
20190531_100725_Depth_20814.png,4,9,13
20191024_095044_Depth_47389.png,7,7,14
20190531_105339_Depth_950.png,6,30,36
20191024_100019_Depth_63474.png,7,8,15
20190531_103143_Depth_5516.png,7,30,37
20191024_095044_Depth_47277.png,7,7,14
20191024_100019_Depth_63446.png,7,8,15
20190531_102916_Depth_1056.png,7,21,28
20190531_100633_Depth_19244.png,4,6,10
20191024_100109_Depth_64637.png,8,9,17
20190531_100248_Depth_14581.png,4,19,23
20191024_100019_Depth_63400.png,7,8,15
20191024_100109_Depth_64596.png,8,9,17
20191024_095044_Depth_47343.png,7,7,14
20190531_100248_Depth_14502.png,4,17,21
20191024_100109_Depth_64681.png,8,9,17
20190531_105600_Depth_5545.png,11,13,24
20191024_095044_Depth_47305.png,7,7,14
20190531_100633_Depth_19304.png,4,7,11
20191024_100109_Depth_64666.png,8,9,17
20190531_105600_Depth_5512.png,13,14,27
20190531_103143_Depth_5446.png,7,30,37
20191024_100019_Depth_63519.png,7,8,15
20190531_100725_Depth_20826.png,4,9,13
20190531_100633_Depth_19308.png,4,7,11
20191024_10852_Depth_112031.png,4,11,15
20191024_100109_Depth_64581.png,8,9,17
20190531_100725_Depth_20897.png,4,9,13
20191024_100019_Depth_63428.png,7,8,15
20190531_105339_Depth_899.png,6,28,34
20191024_100019_Depth_63458.png,7,8,15
20190531_103143_Depth_5506.png,7,31,38
20191024_100019_Depth_63516.png,7,8,15
20191024_100109_Depth_64691.png,8,9,17
20191024_100019_Depth_63497.png,7,8,15
20191024_100109_Depth_64591.png,8,9,17
20190531_103143_Depth_5444.png,7,30,37
20191024_100109_Depth_64569.png,8,9,17
20191024_10852_Depth_112011.png,4,11,15
20191024_095044_Depth_47364.png,7,7,14
20190531_100633_Depth_19330.png,4,7,11
20190531_100248_Depth_14553.png,4,19,23
20190531_100633_Depth_19250.png,4,4,8
20190531_105339_Depth_931.png,6,29,35
20191024_10852_Depth_112043.png,4,11,15
20190531_100248_Depth_14533.png,4,18,22
20191024_100019_Depth_63393.png,7,8,15
20191024_095044_Depth_47382.png,7,7,14
20191024_10852_Depth_111980.png,4,11,15
20191024_10852_Depth_111956.png,4,11,15
20190531_105600_Depth_5492.png,14,15,29
20191024_100019_Depth_63451.png,7,8,15
20190531_105339_Depth_942.png,5,29,34
20191024_10852_Depth_111964.png,4,11,15
20190531_100725_Depth_20893.png,4,9,13
20190531_100633_Depth_19257.png,4,4,8
20191024_095044_Depth_47287.png,7,7,14
20191024_095044_Depth_47377.png,7,7,14
20190531_102916_Depth_1045.png,7,20,27
20191024_100109_Depth_64686.png,8,9,17
20190531_100725_Depth_20844.png,4,9,13
20190531_103143_Depth_5448.png,8,30,38
20190531_102916_Depth_1048.png,7,21,28
20191024_095044_Depth_47317.png,7,7,14
20190531_105339_Depth_887.png,7,30,37
20191024_095044_Depth_47319.png,7,7,14
20191024_100109_Depth_64648.png,8,9,17
20191024_100019_Depth_63415.png,7,8,15
20191024_10852_Depth_111954.png,4,11,15
20190531_105600_Depth_5521.png,13,14,27
20190531_100725_Depth_20810.png,4,9,13
20190531_105600_Depth_5515.png,13,13,26
20190531_100248_Depth_14601.png,4,19,23
20190531_103143_Depth_5542.png,7,31,38
20190531_102916_Depth_1131.png,7,20,27
20191024_10852_Depth_111999.png,4,11,15
20190531_100248_Depth_14451.png,4,14,18
20191024_100019_Depth_63397.png,7,8,15
20190531_102916_Depth_1177.png,7,20,27
20190531_105339_Depth_959.png,6,31,37
20190531_102916_Depth_1099.png,7,21,28
20190531_100633_Depth_19318.png,4,6,10
20191024_10852_Depth_111981.png,4,11,15
20191024_095044_Depth_47278.png,7,7,14
20190531_100248_Depth_14578.png,4,19,23
20191024_095044_Depth_47340.png,7,7,14
20190531_102916_Depth_1113.png,7,21,28
20190531_100725_Depth_20865.png,4,9,13
20191024_10852_Depth_112024.png,4,11,15
20190531_105339_Depth_881.png,7,29,36
20190531_105339_Depth_879.png,7,29,36
20191024_10852_Depth_112052.png,4,11,15
20191024_100019_Depth_63491.png,7,8,15
20190531_100725_Depth_20876.png,4,10,14
20191024_100019_Depth_63492.png,7,8,15
20190531_105339_Depth_897.png,6,28,34
20190531_100725_Depth_20806.png,4,9,13
20191024_100109_Depth_64621.png,8,9,17
20190531_100725_Depth_20879.png,4,9,13
20191024_100019_Depth_63449.png,7,8,15
20190531_100633_Depth_19239.png,4,6,10
20191024_100019_Depth_63493.png,7,8,15
20190531_102916_Depth_1093.png,7,20,27
20190531_100248_Depth_14570.png,4,19,23
20191024_100109_Depth_64661.png,8,9,17
20190531_102916_Depth_1101.png,7,21,28
20190531_102916_Depth_1042.png,7,21,28
20190531_102916_Depth_1160.png,6,20,26
20191024_10852_Depth_111973.png,4,11,15
20190531_105600_Depth_5527.png,15,12,27
20191024_100019_Depth_63480.png,7,8,15
20191024_100019_Depth_63392.png,7,8,15
20190531_105339_Depth_917.png,6,28,34
20191024_100019_Depth_63501.png,7,8,15
20191024_100019_Depth_63439.png,7,8,15
20191024_095044_Depth_47383.png,7,7,14
20190531_103143_Depth_5513.png,7,30,37
20191024_10852_Depth_112030.png,4,11,15
20190531_102916_Depth_1150.png,7,21,28
20191024_100109_Depth_64576.png,8,9,17
20190531_105600_Depth_5489.png,14,15,29
20190531_105339_Depth_878.png,6,29,35
20191024_100019_Depth_63438.png,7,8,15
20191024_100019_Depth_63515.png,7,8,15
20190531_102916_Depth_1137.png,7,21,28
20191024_100019_Depth_63462.png,7,8,15
20190531_102916_Depth_1193.png,7,21,28
20190531_100725_Depth_20859.png,4,9,13
20191024_100109_Depth_64652.png,8,9,17
20190531_100248_Depth_14556.png,4,18,22
20191024_10852_Depth_112010.png,4,11,15
20190531_100633_Depth_19240.png,4,6,10
20190531_105600_Depth_5217.png,10,11,21
20191024_095044_Depth_47356.png,7,7,14
20190531_105600_Depth_5504.png,14,15,29
20190531_105600_Depth_5516.png,12,13,25
20190531_105600_Depth_5541.png,11,12,23
20190531_102916_Depth_1163.png,7,20,27
20191024_100109_Depth_64606.png,8,9,17
20191024_100019_Depth_63488.png,7,8,15
20191024_095044_Depth_47286.png,7,7,14
20190531_102916_Depth_1118.png,7,21,28
20190531_105600_Depth_5257.png,11,11,22
20190531_103143_Depth_5437.png,7,30,37
20191024_095044_Depth_47391.png,7,7,14
20191024_100019_Depth_63433.png,7,8,15
20191024_100019_Depth_63394.png,7,8,15
20191024_095044_Depth_47282.png,7,7,14
20191024_095044_Depth_47284.png,7,7,14
20191024_10852_Depth_112055.png,4,11,15
20191024_095044_Depth_47376.png,7,7,14
20190531_100248_Depth_14595.png,4,19,23
20191024_10852_Depth_111993.png,4,11,15
20190531_100248_Depth_14548.png,4,18,22
20190531_100248_Depth_14500.png,4,16,20
20190531_105600_Depth_5544.png,12,12,24
20190531_100248_Depth_14603.png,5,20,25
20191024_100109_Depth_64619.png,8,9,17
20190531_103143_Depth_5439.png,7,30,37
20191024_100109_Depth_64627.png,8,9,17
20190531_105339_Depth_873.png,6,28,34
20190531_103143_Depth_5483.png,7,30,37
20191024_095044_Depth_47344.png,7,7,14
20190531_100248_Depth_14468.png,4,16,20
20191024_100109_Depth_64640.png,8,9,17
20190531_100248_Depth_14483.png,4,16,20
20190531_100633_Depth_19255.png,4,4,8
20190531_103143_Depth_5496.png,7,30,37
20190531_100725_Depth_20870.png,4,10,14
20191024_100109_Depth_64578.png,8,9,17
20191024_100109_Depth_64593.png,8,9,17
20190531_100633_Depth_19298.png,4,6,10
20191024_095044_Depth_47299.png,7,7,14
20190531_105339_Depth_925.png,6,29,35
20190531_105600_Depth_5160.png,12,12,24
20190531_100633_Depth_19253.png,4,4,8
20191024_10852_Depth_112060.png,4,11,15
20190531_100725_Depth_20848.png,4,9,13
20190531_100725_Depth_20816.png,4,10,14
20190531_105339_Depth_945.png,6,30,36
20191024_100019_Depth_63505.png,7,8,15
20190531_105339_Depth_882.png,7,29,36
20190531_105339_Depth_953.png,6,30,36
20191024_100109_Depth_64572.png,8,9,17
20191024_100019_Depth_63477.png,7,8,15
20191024_10852_Depth_112054.png,4,11,15
20191024_095044_Depth_47368.png,7,7,14
20190531_100725_Depth_20895.png,4,10,14
20190531_100633_Depth_19237.png,4,6,10
20190531_105600_Depth_5499.png,14,15,29
20191024_095044_Depth_47354.png,7,7,14
20191024_10852_Depth_111997.png,4,11,15
20191024_100109_Depth_64667.png,8,9,17
20191024_100109_Depth_64595.png,8,9,17
20191024_100109_Depth_64592.png,8,9,17
20190531_105339_Depth_965.png,6,30,36
20191024_100019_Depth_63412.png,7,8,15
20190531_100725_Depth_20882.png,4,9,13
20191024_10852_Depth_112046.png,4,11,15
20190531_102916_Depth_1180.png,7,20,27
20190531_105600_Depth_5474.png,14,15,29
20190531_103143_Depth_5522.png,7,30,37
20190531_103143_Depth_5434.png,7,30,37
20190531_100725_Depth_20818.png,4,10,14
20190531_100725_Depth_20803.png,4,9,13
20190531_100248_Depth_14544.png,4,18,22
20191024_100109_Depth_64622.png,8,9,17
20191024_095044_Depth_47271.png,7,7,14
20191024_100019_Depth_63499.png,7,8,15
20191024_095044_Depth_47293.png,7,7,14
20190531_100725_Depth_20833.png,4,9,13
20191024_100019_Depth_63459.png,7,8,15
20191024_100109_Depth_64636.png,8,9,17
20190531_100725_Depth_20839.png,4,9,13
20191024_10852_Depth_111991.png,4,11,15
20191024_10852_Depth_112073.png,4,11,15
20191024_095044_Depth_47267.png,7,7,14
20191024_095044_Depth_47283.png,7,7,14
20191024_100019_Depth_63391.png,7,8,15
20190531_103143_Depth_5440.png,7,30,37
20191024_100019_Depth_63409.png,7,8,15
20190531_105600_Depth_5563.png,11,12,23
20190531_100633_Depth_19252.png,4,4,8
20190531_102916_Depth_1157.png,6,20,26
20191024_10852_Depth_111970.png,4,11,15
20191024_10852_Depth_112049.png,4,11,15
20190531_100725_Depth_20830.png,4,9,13
20190531_100725_Depth_20850.png,4,9,13
20191024_100019_Depth_63421.png,7,8,15
20191024_10852_Depth_112035.png,4,11,15
20190531_100248_Depth_14546.png,4,18,22
20191024_10852_Depth_112075.png,4,11,15
20191024_100019_Depth_63425.png,7,8,15
20191024_100019_Depth_63498.png,7,8,15
20190531_105339_Depth_920.png,6,28,34
20191024_095044_Depth_47272.png,7,7,14
20191024_10852_Depth_111992.png,4,11,15
20191024_100019_Depth_63455.png,7,8,15
20190531_100725_Depth_20821.png,4,10,14
20190531_100248_Depth_14469.png,4,15,19
20191024_095044_Depth_47393.png,7,7,14
20190531_103143_Depth_5429.png,6,30,36
20190531_103143_Depth_5443.png,7,30,37
20191024_10852_Depth_111965.png,4,11,15
20190531_102916_Depth_1047.png,7,20,27
20190531_100633_Depth_19265.png,4,4,8
20191024_100019_Depth_63457.png,7,8,15
20191024_100109_Depth_64630.png,8,9,17
20191024_10852_Depth_112068.png,4,11,15
20190531_100248_Depth_14535.png,4,18,22
20190531_103143_Depth_5431.png,6,30,36
20191024_10852_Depth_111959.png,4,11,15
20190531_100633_Depth_19246.png,4,5,9
20191024_10852_Depth_111989.png,4,11,15
20190531_105339_Depth_923.png,6,29,35
20190531_105339_Depth_911.png,6,28,34
20191024_100109_Depth_64625.png,8,9,17
20191024_100019_Depth_63484.png,7,8,15
20190531_100633_Depth_19242.png,4,6,10
20190531_102916_Depth_1119.png,7,21,28
20190531_105600_Depth_5507.png,14,15,29
20190531_105600_Depth_5566.png,11,12,23
20191024_100019_Depth_63423.png,7,8,15
20191024_095044_Depth_47304.png,7,7,14
20191024_10852_Depth_111986.png,4,11,15
20191024_095044_Depth_47273.png,7,7,14
20190531_100248_Depth_14457.png,4,15,19
20190531_100248_Depth_14454.png,4,15,19
20190531_105600_Depth_5278.png,11,12,23
20191024_100019_Depth_63471.png,7,8,15
20190531_100725_Depth_20815.png,4,10,14
20190531_100248_Depth_14455.png,4,15,19
20191024_100109_Depth_64673.png,8,9,17
20191024_100019_Depth_63469.png,7,8,15
20190531_100248_Depth_14616.png,5,19,24
20191024_095044_Depth_47296.png,7,7,14
20190531_100248_Depth_14450.png,4,14,18
20191024_100109_Depth_64566.png,8,9,17
20190531_100248_Depth_14568.png,4,18,22
20191024_100019_Depth_63506.png,7,8,15
20191024_100109_Depth_64573.png,8,9,17
20191024_100019_Depth_63398.png,7,8,15
20190531_100633_Depth_19268.png,4,5,9
20191024_100109_Depth_64644.png,8,9,17
20190531_105339_Depth_888.png,7,30,37
20191024_10852_Depth_112002.png,4,11,15
20191024_100109_Depth_64609.png,8,9,17
20190531_100633_Depth_19249.png,4,4,8
20191024_100019_Depth_63517.png,7,8,15
20191024_095044_Depth_47341.png,7,7,14
20190531_102916_Depth_1205.png,7,20,27
20191024_10852_Depth_112057.png,4,11,15
20191024_095044_Depth_47280.png,7,7,14
20190531_103143_Depth_5436.png,7,30,37
20191024_100109_Depth_64603.png,8,9,17
20191024_10852_Depth_112037.png,4,11,15
20191024_100109_Depth_64608.png,8,9,17
20191024_100019_Depth_63508.png,7,8,15
20190531_100725_Depth_20837.png,4,9,13
20190531_100633_Depth_19247.png,4,4,8
20190531_102916_Depth_1172.png,6,20,26
20190531_100633_Depth_19241.png,4,6,10
20190531_105600_Depth_5493.png,14,15,29
20190531_103143_Depth_5433.png,7,30,37
20190531_105339_Depth_905.png,6,27,33
20190531_103143_Depth_5493.png,7,30,37
20191024_100019_Depth_63440.png,7,8,15
20191024_100019_Depth_63420.png,7,8,15
20190531_102916_Depth_1090.png,7,20,27
20190531_100725_Depth_20819.png,4,10,14
20190531_105339_Depth_914.png,6,29,35
20191024_100019_Depth_63461.png,7,8,15
20191024_100109_Depth_64633.png,8,9,17
20191024_095044_Depth_47309.png,7,7,14
20190531_100633_Depth_19245.png,4,6,10
20190531_100248_Depth_14493.png,4,16,20
20190531_105600_Depth_5333.png,10,11,21
20191024_095044_Depth_47329.png,7,7,14
20191024_100109_Depth_64663.png,8,9,17
20191024_100019_Depth_63430.png,7,8,15
20191024_095044_Depth_47379.png,7,7,14
20191024_10852_Depth_111983.png,4,11,15
20190531_100633_Depth_19258.png,4,4,8
20191024_10852_Depth_112023.png,4,11,15
20191024_10852_Depth_111972.png,4,11,15
20191024_100109_Depth_64571.png,8,9,17
20191024_100109_Depth_64617.png,8,9,17
20190531_100633_Depth_19279.png,4,5,9
20191024_100019_Depth_63413.png,7,8,15
20190531_100633_Depth_19322.png,4,7,11
20190531_105339_Depth_903.png,6,29,35
20191024_100109_Depth_64577.png,8,9,17
20190531_105339_Depth_880.png,7,29,36
20191024_100109_Depth_64568.png,8,9,17
20190531_102916_Depth_1140.png,7,20,27
20190531_100633_Depth_19290.png,4,5,9
20190531_100725_Depth_20805.png,4,9,13
20191024_10852_Depth_111962.png,4,11,15
20191024_100019_Depth_63401.png,7,8,15
20191024_10852_Depth_111982.png,4,11,15
20191024_095044_Depth_47392.png,7,7,14
20190531_100725_Depth_20804.png,4,9,13
20191024_100109_Depth_64657.png,8,9,17
20191024_095044_Depth_47336.png,7,7,14
20191024_095044_Depth_47270.png,7,7,14
20191024_10852_Depth_111953.png,4,11,15
20191024_10852_Depth_111974.png,4,11,15
20191024_100019_Depth_63442.png,7,8,15
20190531_105339_Depth_883.png,7,29,36
20190531_100248_Depth_14617.png,5,19,24
20191024_10852_Depth_111952.png,4,11,15
20190531_103143_Depth_5477.png,8,30,38
20191024_100019_Depth_63389.png,7,8,15
20190531_100248_Depth_14543.png,4,18,22
20191024_10852_Depth_112001.png,4,11,15
20191024_10852_Depth_111995.png,4,11,15
20191024_10852_Depth_111966.png,4,11,15
20190531_100725_Depth_20884.png,4,9,13
20191024_100019_Depth_63495.png,7,8,15
20191024_10852_Depth_112048.png,4,11,15
20190531_102916_Depth_1079.png,7,20,27
20190531_100248_Depth_14444.png,4,14,18
20190531_102916_Depth_1203.png,7,20,27
20190531_100248_Depth_14482.png,4,16,20
20191024_095044_Depth_47353.png,7,7,14
20191024_10852_Depth_112019.png,4,11,15
20191024_100109_Depth_64624.png,8,9,17
20191024_10852_Depth_111979.png,4,11,15
20190531_102916_Depth_1132.png,7,21,28
20190531_103143_Depth_5432.png,7,30,37
20191024_100109_Depth_64602.png,8,9,17
20191024_10852_Depth_112059.png,4,11,15
20190531_100248_Depth_14592.png,4,19,23
20190531_103143_Depth_5525.png,7,30,37
20190531_100248_Depth_14467.png,4,15,19
20191024_10852_Depth_112013.png,4,11,15
20191024_100019_Depth_63443.png,7,8,15
20191024_100109_Depth_64664.png,8,9,17
20191024_10852_Depth_111994.png,4,11,15
20190531_105600_Depth_5484.png,14,16,30
20190531_100725_Depth_20842.png,4,9,13
20191024_10852_Depth_111988.png,4,11,15
20191024_100019_Depth_63403.png,7,8,15
20191024_100109_Depth_64689.png,8,9,17
20191024_100109_Depth_64567.png,8,9,17
20190531_105339_Depth_934.png,5,28,33
20191024_10852_Depth_111971.png,4,11,15
20190531_103143_Depth_5467.png,8,30,38
20191024_100019_Depth_63411.png,7,8,15
20190531_100248_Depth_14623.png,5,20,25
20190531_102916_Depth_1086.png,7,20,27
20190531_100248_Depth_14447.png,4,14,18
20191024_095044_Depth_47338.png,7,7,14
20191024_100019_Depth_63478.png,7,8,15
20190531_100725_Depth_20807.png,4,9,13
20190531_102916_Depth_1069.png,7,21,28
20190531_105339_Depth_874.png,6,29,35
20191024_100019_Depth_63483.png,7,8,15
20190531_103143_Depth_5435.png,7,30,37
20191024_10852_Depth_112033.png,4,11,15
20190531_100633_Depth_19293.png,4,5,9
20191024_100109_Depth_64605.png,8,9,17
20190531_102916_Depth_1060.png,7,21,28
20191024_10852_Depth_111955.png,4,11,15
20190531_103143_Depth_5532.png,7,30,37
20190531_105600_Depth_5241.png,11,11,22
20190531_105600_Depth_5468.png,14,15,29
20191024_10852_Depth_112008.png,4,11,15
20190531_102916_Depth_1184.png,7,20,27
20191024_095044_Depth_47294.png,7,7,14
20190531_100633_Depth_19256.png,4,4,8
20190531_100725_Depth_20809.png,4,9,13
20191024_100109_Depth_64660.png,8,9,17
20190531_100248_Depth_14596.png,4,19,23
20190531_105600_Depth_5523.png,14,13,27
20190531_103143_Depth_5487.png,7,31,38
20191024_100109_Depth_64597.png,8,9,17
20191024_10852_Depth_112038.png,4,11,15
20190531_105339_Depth_973.png,6,30,36
20191024_100109_Depth_64586.png,8,9,17
20191024_100109_Depth_64658.png,8,9,17
20190531_105600_Depth_5478.png,14,16,30
20191024_095044_Depth_47292.png,7,7,14
20191024_100109_Depth_64674.png,8,9,17
20190531_100633_Depth_19248.png,4,4,8
20191024_100109_Depth_64582.png,8,9,17
20190531_100725_Depth_20813.png,4,9,13
20190531_105600_Depth_5557.png,12,13,25
20190531_103143_Depth_5535.png,7,30,37
20190531_105339_Depth_876.png,6,29,35
20191024_100109_Depth_64651.png,8,9,17
20191024_100019_Depth_63390.png,7,8,15
